Killcount,Date,Total Drop Value
7,4/22/2024 21:50,105574
8,4/22/2024 21:57,141796
9,4/22/2024 21:59,152642
10,4/22/2024 22:05,125792
11,4/22/2024 22:08,187258
12,4/22/2024 22:15,138260
13,4/23/2024 19:09,54244
14,4/23/2024 19:16,52160
15,4/23/2024 19:19,122666
16,4/23/2024 19:22,77315
17,4/23/2024 19:27,144314
18,4/23/2024 19:30,91746
19,4/23/2024 19:34,142876
20,4/23/2024 19:39,95776
21,4/23/2024 19:43,80226
22,4/23/2024 23:02,124035
23,4/23/2024 23:06,204113
24,4/23/2024 23:09,97759
25,4/24/2024 19:14,69804
26,4/24/2024 19:36,120367
27,4/24/2024 19:39,109343
28,4/24/2024 19:48,142874
29,4/24/2024 19:56,130742
30,4/24/2024 20:08,92796
31,4/24/2024 20:11,248406
32,4/24/2024 20:17,91353
33,4/24/2024 20:26,110498
34,4/24/2024 20:29,105698
35,4/24/2024 20:31,109681
36,4/24/2024 20:37,63844
37,4/24/2024 20:40,161628
38,4/24/2024 20:42,62353
39,4/24/2024 20:56,126472
40,4/24/2024 20:59,151541
41,4/24/2024 21:01,105456
42,4/24/2024 21:10,100702
43,4/24/2024 21:13,88268
44,4/24/2024 21:16,105782
45,4/24/2024 21:21,131575
46,4/24/2024 21:23,107331
47,4/24/2024 21:26,156342
48,4/24/2024 21:30,243831
49,4/24/2024 21:33,45908
50,4/24/2024 21:36,100600
51,4/25/2024 1:09,104146
52,4/25/2024 1:12,101690
53,4/25/2024 1:14,96976
54,4/25/2024 1:19,113110
55,4/25/2024 1:21,80433
56,4/25/2024 1:25,75772
57,4/25/2024 1:27,95569
58,4/25/2024 1:31,128574
59,4/25/2024 1:34,106072
60,4/25/2024 1:37,67377
61,4/25/2024 1:43,205870
62,4/25/2024 1:46,99892
63,4/25/2024 1:48,89025
64,4/25/2024 1:53,94428
65,4/25/2024 1:56,77891
66,4/25/2024 1:57,242145
67,4/27/2024 12:01,58086
68,4/27/2024 12:03,87338
69,4/27/2024 12:06,74523
70,4/27/2024 12:08,135722
71,4/27/2024 12:14,25270
72,4/27/2024 12:17,117750
73,4/27/2024 15:45,75632
74,4/27/2024 15:47,101198
75,4/27/2024 15:49,124702
76,4/27/2024 15:52,121467
77,4/27/2024 16:02,90878
78,4/27/2024 16:12,109240
79,4/27/2024 16:15,99410
80,4/27/2024 16:18,141161
81,4/27/2024 16:24,113742
82,4/27/2024 16:27,92402
83,4/27/2024 16:30,174207
84,4/27/2024 16:35,65774
85,4/27/2024 16:37,227018
86,4/27/2024 16:42,72292
87,4/27/2024 16:44,147785
88,4/27/2024 16:51,116620
89,4/27/2024 16:54,65535
90,4/27/2024 17:11,26550
91,4/27/2024 17:20,98239
92,4/27/2024 18:44,142544
93,4/27/2024 18:48,144411
94,4/27/2024 18:51,117194
95,4/27/2024 18:53,126452
96,4/27/2024 18:58,118306
97,4/27/2024 19:00,86496
98,4/27/2024 19:03,59129
99,4/27/2024 19:05,192819
100,4/27/2024 19:13,68836
101,4/27/2024 19:15,85892
102,4/27/2024 19:19,87147
103,4/27/2024 19:44,78664
104,4/27/2024 19:47,83513
105,4/27/2024 19:49,82876
106,4/27/2024 19:53,343917
107,4/27/2024 19:57,132262
108,4/27/2024 19:59,94409
109,4/27/2024 20:01,127624
110,4/27/2024 20:06,162340
111,4/27/2024 20:08,229688
112,4/27/2024 20:10,163528
113,4/27/2024 20:13,92626
114,4/27/2024 20:20,159377
115,4/27/2024 20:23,96973
116,4/27/2024 20:25,100582
117,4/27/2024 20:28,61450
118,4/27/2024 20:32,53487
